id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,crime_rate,prop.availability,days_last_review,dis_in_miles,Bronx,Brooklyn,Manhattan,Queens,Staten_Island,entire_home,private_room,shared_room
7097,40.69169,-73.97185,215,2,198,1.72,1,18.9222,0.879452055,11,0.36256378,0,1,0,0,0,1,0,0
7322,40.74192,-73.99501,140,1,260,2.12,1,21.5079,0.032876712,8,0.13744881,0,0,1,0,0,0,1,0
7726,40.67592,-73.94694,99,3,53,4.44,1,11.3065,0.057534247,17,0.36076047,0,1,0,0,0,1,0,0
7801,40.71842,-73.95718,299,3,9,0.07,1,14.1874,0,2750,0.08992943,0,1,0,0,0,1,0,0
8024,40.68069,-73.97706,130,2,130,1.09,6,12.441,0.950684932,8,0.10866697,0,1,0,0,0,0,1,0
8025,40.67989,-73.97798,80,1,39,0.37,6,12.441,0.997260274,189,0.1699738,0,1,0,0,0,0,1,0
8110,40.68001,-73.97865,110,2,71,0.61,6,12.441,0.832876712,7,0.20015088,0,1,0,0,0,0,1,0
8490,40.68371,-73.94028,120,2,88,0.73,2,17.0945,0.638356164,20,0.26276724,0,1,0,0,0,1,0,0
8505,40.65599,-73.97519,60,1,19,1.37,2,9.9778,0.232876712,16,0.35990399,0,1,0,0,0,0,1,0
9357,40.76715,-73.98533,150,10,58,0.49,1,44.8156,0.205479452,695,0.19338952,0,0,1,0,0,1,0,0
9518,40.86482,-73.92106,44,3,108,1.11,3,11.3035,0.852054795,24,0.11799328,0,0,1,0,0,0,1,0
9657,40.7292,-73.98542,180,14,29,0.24,1,16.1427,0.183561644,81,0.23084231,0,0,1,0,0,1,0,0
9668,40.82245,-73.95104,50,3,242,2.04,3,12.8038,0.97260274,38,0.14119133,0,0,1,0,0,0,1,0
9704,40.81305,-73.95466,52,2,88,1.42,1,12.2706,0.698630137,25,0.18567058,0,0,1,0,0,0,1,0
9782,40.72219,-73.93762,55,4,197,1.65,3,14.1874,0.778082192,24,0.62012929,0,1,0,0,0,0,1,0
9783,40.8213,-73.95318,50,3,273,2.37,3,12.8038,0.983561644,8,0.05522025,0,0,1,0,0,0,1,0
10452,40.6831,-73.95473,70,1,74,0.66,2,17.0945,0.736986301,58,0.1623351,0,1,0,0,0,0,1,0
10962,40.66869,-73.9878,89,4,168,1.41,3,12.441,0.931506849,18,0.15040547,0,1,0,0,0,0,1,0
11708,40.70186,-73.92745,85,2,231,1.96,2,13.4682,0.060273973,17,0.27471846,0,1,0,0,0,1,0,0
12048,40.71401,-73.98917,40,1,214,1.81,4,17.1053,0.515068493,4,0.05382404,0,0,1,0,0,0,0,1
12192,40.7229,-73.98199,68,2,245,2.08,2,16.1427,0.263013699,18,0.41775821,0,0,1,0,0,0,1,0
12299,40.66278,-73.97966,120,3,15,0.39,1,12.441,0.945205479,43,0.18898594,0,1,0,0,0,1,0,0
12303,40.69673,-73.97584,120,7,25,0.23,1,18.9222,0.852054795,282,0.52148032,0,1,0,0,0,0,1,0
12318,40.79009,-73.97927,135,4,81,0.69,1,9.5529,0.747945205,23,0.18819958,0,0,1,0,0,0,1,0
12343,40.81175,-73.94478,150,7,97,0.84,1,15.3365,0.846575342,26,0.270434,0,0,1,0,0,1,0,0
12627,40.65944,-73.96238,150,29,11,0.49,1,11.4804,0.260273973,34,0.15212059,0,1,0,0,0,1,0,0
12937,40.74771,-73.9474,130,3,248,2.25,1,9.0806,0.589041096,8,0.07055628,0,0,0,1,0,0,1,0
12940,40.68111,-73.95591,110,7,61,0.52,1,17.0945,0.726027397,45,0.03567789,0,1,0,0,0,1,0,0
13050,40.68554,-73.9409,115,3,11,0.1,1,17.0945,0,919,0.38700975,0,1,0,0,0,1,0,0
13394,40.69142,-73.97376,80,3,135,1.16,2,18.9222,0.526027397,22,0.30798106,0,1,0,0,0,0,1,0
13808,40.68043,-73.93934,80,1,112,1.01,3,17.0945,0.687671233,23,0.0870454,0,1,0,0,0,0,1,0
14287,40.78635,-73.97008,151,2,73,0.63,1,9.5529,0.82739726,2,0.07487171,0,0,1,0,0,1,0,0
14290,40.7042,-73.9356,228,3,82,0.7,1,11.0839,0.383561644,53,0.18594313,0,1,0,0,0,1,0,0
14314,40.73506,-73.95392,144,2,328,2.82,1,14.1874,0.64109589,10,0.26248487,0,1,0,0,0,1,0,0
14322,40.73961,-73.98074,200,7,19,0.22,1,21.5079,0.704109589,106,0.30133958,0,0,1,0,0,1,0,0
14377,40.70881,-73.9593,150,30,105,0.9,1,11.0839,0.082191781,17,0.0823399,0,1,0,0,0,1,0,0
14991,40.72004,-73.99104,110,5,19,0.17,1,18.5259,0.824657534,52,0.14563936,0,0,1,0,0,0,1,0
15220,40.75531,-73.99293,69,2,289,2.49,2,123.5776,0.805479452,30,0.20952978,0,0,1,0,0,0,1,0
15338,40.72401,-73.93788,49,4,138,1.19,3,14.1874,0.876712329,35,0.69757024,0,1,0,0,0,0,1,0
15341,40.7221,-73.99775,180,30,21,0.3,1,18.5259,0.421917808,10,0.03477315,0,0,1,0,0,1,0,0
15385,40.71185,-73.96204,80,2,42,0.38,1,11.0839,0.720547945,9,0.32493608,0,1,0,0,0,0,1,0
15396,40.74623,-73.9953,375,180,5,0.12,1,22.9773,0.493150685,248,0.1219239,0,0,1,0,0,1,0,0
15711,40.77065,-73.95269,250,2,66,0.57,2,10.9143,0.632876712,101,0.32299124,0,0,1,0,0,1,0,0
16326,40.67811,-73.96428,200,30,143,1.33,2,11.3065,0.81369863,164,0.36405892,0,1,0,0,0,1,0,0
16338,40.69,-73.96788,55,7,27,0.23,2,18.9222,0.8,647,0.14299679,0,1,0,0,0,0,1,0
16421,40.75979,-73.99119,52,30,191,1.65,1,123.5776,0.523287671,54,0.18709619,0,0,1,0,0,0,1,0
16458,40.67343,-73.98338,225,3,4,0.16,1,12.441,0,653,0.26790051,0,1,0,0,0,1,0,0
16580,40.72649,-73.97904,80,1,338,4.72,2,16.1427,0.197260274,8,0.33835617,0,0,1,0,0,0,1,0
16595,40.70933,-73.96792,275,1,148,1.4,1,11.0839,0.991780822,16,0.53254368,0,1,0,0,0,1,0,0
16821,40.72298,-73.98474,99,1,106,1.26,2,16.1427,0.920547945,18,0.27382209,0,0,1,0,0,0,1,0
16974,40.80164,-73.93922,225,4,190,1.64,1,23.5629,0.589041096,16,0.19187902,0,0,1,0,0,1,0,0
17037,40.72162,-73.98008,230,9,49,0.43,1,16.1427,0.317808219,421,0.44662258,0,0,1,0,0,1,0,0
17092,40.76342,-73.98865,51,7,23,0.43,1,44.8156,0.24109589,38,0.15454405,0,0,1,0,0,0,1,0
17693,40.83139,-73.94095,65,2,49,1.6,2,10.1224,0.920547945,21,0.06689249,0,0,1,0,0,0,1,0
17747,40.68346,-73.96374,105,2,105,0.92,1,18.9222,0.832876712,13,0.110795,0,1,0,0,0,0,1,0
18127,40.72828,-73.98801,190,5,21,0.2,1,16.1427,0.61369863,188,0.20150835,0,0,1,0,0,1,0,0
18152,40.76865,-73.95058,200,1,142,1.5,1,10.9143,0.882191781,3,0.40747855,0,0,1,0,0,0,1,0
18198,40.75038,-73.90334,70,30,25,0.22,1,9.0806,0.887671233,39,0.22066399,0,0,0,1,0,0,1,0
18590,40.6932,-73.97267,95,3,143,1.28,1,18.9222,0.361643836,23,0.44202406,0,1,0,0,0,0,1,0
18728,40.74138,-74.00197,150,3,167,1.65,1,22.9773,0.808219178,42,0.03659601,0,0,1,0,0,0,1,0
18764,40.71154,-73.96112,145,3,61,0.54,4,11.0839,0.652054795,78,0.2773446,0,1,0,0,0,0,1,0
19159,40.82915,-73.95136,110,31,54,0.49,1,12.8038,0.57260274,108,0.18643081,0,0,1,0,0,1,0,0
19169,40.71851,-73.98892,285,5,70,0.62,1,17.1053,0.898630137,9,0.04564441,0,0,1,0,0,1,0,0
19282,40.65401,-73.96323,130,6,16,0.15,1,7.5312,0.104109589,24,0.11846708,0,1,0,0,0,1,0,0
19319,40.7114,-73.98794,94,30,94,0.84,1,17.1053,0.515068493,92,0.20568163,0,0,1,0,0,0,1,0
19601,40.69723,-73.99268,800,1,25,0.24,1,22.5122,0.019178082,1069,0.02677017,0,1,0,0,0,1,0,0
19812,40.71833,-73.95748,105,3,61,0.53,1,14.1874,0.745205479,334,0.09031888,0,1,0,0,0,1,0,0
20299,40.72334,-73.9844,60,3,194,1.73,1,16.1427,0.071232877,9,0.29011872,0,0,1,0,0,0,1,0
20300,40.72912,-73.98057,50,1,2,0.05,1,16.1427,0,1241,0.14034431,0,0,1,0,0,0,1,0
20611,40.71156,-73.96218,85,3,174,1.54,4,11.0839,0.789041096,17,0.31581351,0,1,0,0,0,0,1,0
20724,40.70032,-73.9383,65,4,24,0.28,1,13.4682,0.868493151,44,0.16135569,0,1,0,0,0,0,1,0
20734,40.68233,-73.97261,131,4,166,3.4,1,12.441,0.567123288,12,0.16091862,0,1,0,0,0,1,0,0
20755,40.68634,-73.966,98,7,16,0.2,6,18.9222,0.506849315,39,0.1277652,0,1,0,0,0,0,1,0
20853,40.68035,-73.97162,250,7,21,0.3,1,12.441,0.432876712,49,0.18059323,0,1,0,0,0,1,0,0
20913,40.70984,-73.95775,100,5,168,1.57,1,11.0839,0,352,0.10040631,0,1,0,0,0,1,0,0
21293,40.70093,-73.92609,105,3,118,1.05,2,13.4682,0.024657534,21,0.21897379,0,1,0,0,0,1,0,0
21456,40.79764,-73.96177,140,3,81,0.71,1,9.5529,0.542465753,2,0.11072877,0,0,1,0,0,1,0,0
21644,40.82803,-73.94731,89,1,1,0.11,1,12.8038,1,273,0.1892468,0,0,1,0,0,0,1,0
21794,40.74008,-74.00271,98,30,30,0.27,2,22.9773,0.997260274,69,0.02199885,0,0,1,0,0,0,1,0
22911,40.68413,-73.92357,125,7,139,1.23,2,20.5032,0.852054795,254,0.38274889,0,1,0,0,0,1,0,0
22918,40.82279,-73.95139,60,3,11,0.87,3,12.8038,0.6,187,0.13112956,0,0,1,0,0,0,1,0
23135,40.67967,-74.00154,175,2,233,2.09,3,9.0278,0.936986301,15,0.34806292,0,1,0,0,0,1,0,0
23501,40.83927,-73.94281,65,2,68,0.6,1,10.1224,0.854794521,2441,0.16563285,0,0,1,0,0,0,1,0
23686,40.73096,-74.00319,500,4,46,0.55,2,24.6521,0.665753425,52,0.17007254,0,0,1,0,0,1,0,0
24143,40.71332,-73.94177,101,3,335,3.02,1,11.0839,0.416438356,41,0.13735251,0,1,0,0,0,0,1,0
24285,40.66941,-73.98109,220,30,88,0.79,1,12.441,0.024657534,249,0.22232231,0,1,0,0,0,1,0,0
25235,40.68373,-73.92377,125,90,162,1.46,2,20.5032,0.375342466,11,0.37235469,0,1,0,0,0,1,0,0
25406,40.71459,-73.94844,80,30,29,0.4,1,14.1874,0.608219178,409,0.10121004,0,1,0,0,0,1,0,0
25696,40.8092,-73.94421,100,2,170,1.61,1,15.3365,0.947945205,16,0.12012927,0,0,1,0,0,0,1,0
26012,40.68157,-73.98989,200,30,19,0.2,1,9.0278,0.569863014,844,0.2796896,0,1,0,0,0,1,0,0
26362,40.75527,-73.99291,59,2,334,3,2,123.5776,0.764383562,23,0.20691918,0,0,1,0,0,0,1,0
26520,40.68698,-73.96572,125,2,19,0.2,6,18.9222,0.684931507,37,0.09519863,0,1,0,0,0,0,1,0
26559,40.7288,-73.98192,140,7,12,0.13,1,16.1427,0.449315068,575,0.15027032,0,0,1,0,0,1,0,0
26785,40.66853,-73.98912,120,30,467,4.22,2,12.441,0.526027397,191,0.12479023,0,1,0,0,0,1,0,0
26933,40.7254,-73.98157,350,2,7,0.06,4,16.1427,0.816438356,699,0.38388197,0,0,1,0,0,1,0,0
26954,40.74294,-73.98009,199,5,38,0.38,1,21.5079,0.712328767,1315,0.21875852,0,0,1,0,0,1,0,0
26969,40.71942,-73.95748,325,3,324,3.01,1,14.1874,0.293150685,16,0.16042283,0,1,0,0,0,1,0,0
27006,40.77823,-73.97637,235,6,27,0.27,1,8.7699,0.545205479,73,0.18663523,0,0,1,0,0,1,0,0
27385,40.72555,-73.97965,225,1,115,1.05,4,16.1427,0.819178082,32,0.38836208,0,0,1,0,0,1,0,0
27531,40.66831,-73.98604,99,2,354,3.2,3,12.441,0.054794521,50,0.211101,0,1,0,0,0,0,1,0
27644,40.82754,-73.94919,170,2,195,2.03,1,12.8038,0.871232877,8,0.09154841,0,0,1,0,0,1,0,0
27659,40.66499,-73.97925,400,2,16,0.24,2,12.441,0.591780822,191,0.10108086,0,1,0,0,0,1,0,0
27759,40.77842,-73.97556,170,7,13,0.12,1,8.7699,0.61369863,13,0.20380284,0,0,1,0,0,1,0,0
27883,40.72245,-73.98527,100,4,25,0.23,1,16.1427,0,2768,0.25314421,0,0,1,0,0,1,0,0
28321,40.65593,-73.96053,75,2,9,0.08,1,11.4804,0.887671233,277,0.07632576,0,1,0,0,0,0,1,0
28396,40.71923,-73.96468,90,1,9,0.08,1,14.1874,0.671232877,2851,0.44308885,0,1,0,0,0,0,1,0
28907,40.778,-73.94822,150,5,21,0.19,1,10.9143,0.517808219,693,0.18609535,0,0,1,0,0,1,0,0
29012,40.85879,-73.93128,85,15,36,0.33,1,11.3035,0.84109589,691,0.15243641,0,0,1,0,0,0,1,0
29013,40.68332,-73.9547,70,3,63,0.58,2,17.0945,0.849315068,56,0.1747049,0,1,0,0,0,0,1,0
29455,40.81618,-73.94894,120,3,155,1.42,3,12.2706,0.583561644,19,0.13970574,0,0,1,0,0,1,0,0
29628,40.68414,-73.96351,89,3,260,2.35,1,18.9222,0.761643836,6,0.13613883,0,1,0,0,0,0,1,0
29683,40.72392,-73.99143,185,5,73,0.66,1,16.1427,0.57260274,14,0.08591515,0,0,1,0,0,1,0,0
30031,40.73494,-73.9503,50,3,193,1.86,1,14.1874,0,50,0.33260442,0,1,0,0,0,0,1,0
30927,40.71341,-73.98856,105,3,32,0.29,1,17.1053,0.043835616,25,0.09008327,0,0,1,0,0,1,0,0
31130,40.76754,-73.98399,130,2,50,0.45,3,44.8156,0.64109589,44,0.11835894,0,0,1,0,0,0,1,0
31555,40.73442,-74.00303,115,29,26,0.25,1,24.6521,0.032876712,8,0.06901867,0,0,1,0,0,1,0,0
31902,40.63188,-73.93248,77,2,2,0.02,1,7.8604,0.487671233,189,0.79277309,0,1,0,0,0,0,1,0
31994,40.6873,-73.9634,76,2,426,3.89,3,18.9222,0.753424658,15,0.18618799,0,1,0,0,0,0,1,0
32023,40.68296,-73.93662,125,3,227,2.09,2,20.5032,0.446575342,16,0.30529009,0,1,0,0,0,1,0,0
32037,40.6863,-73.96765,135,4,84,0.77,3,18.9222,1,8,0.13137569,0,1,0,0,0,0,1,0
32100,40.73409,-73.95348,250,29,3,0.03,1,14.1874,0.093150685,709,0.20056681,0,1,0,0,0,1,0,0
32289,40.71561,-73.94835,199,3,10,0.1,1,14.1874,0.767123288,393,0.14525757,0,1,0,0,0,1,0,0
32331,40.6857,-73.99183,140,2,4,0.04,1,22.5122,0,1171,0.0629643,0,1,0,0,0,1,0,0
32363,40.74028,-73.83168,140,2,1,0.01,1,7.9745,0.002739726,2850,1.22810629,0,0,0,1,0,0,1,0
32965,40.68281,-73.93524,115,3,124,1.72,2,20.5032,0.465753425,19,0.33495508,0,1,0,0,0,1,0,0
32969,40.71596,-73.93938,160,3,11,0.11,1,11.0839,0.515068493,7,0.25738562,0,1,0,0,0,1,0,0
33009,40.71492,-73.95935,195,4,240,2.19,1,11.0839,0.58630137,22,0.20944762,0,1,0,0,0,1,0,0
33014,40.72354,-73.98295,195,3,30,0.28,1,16.1427,0.679452055,22,0.36616385,0,0,1,0,0,1,0,0
33223,40.71165,-73.96087,80,3,200,1.86,4,11.0839,0.717808219,17,0.27555148,0,1,0,0,0,0,1,0
34760,40.69101,-73.97312,44,8,27,1.05,5,18.9222,0.767123288,10,0.29280353,0,1,0,0,0,0,1,0
35526,40.73474,-74.00101,156,4,79,0.74,1,24.6521,0.84109589,17,0.13451709,0,0,1,0,0,0,1,0
36121,40.67386,-73.96641,85,15,9,0.09,1,11.3065,0.928767123,2251,0.17026677,0,1,0,0,0,0,1,0
36133,40.71536,-73.96057,125,3,155,1.61,1,11.0839,0.002739726,26,0.23968248,0,1,0,0,0,0,1,0
36442,40.6741,-73.96595,115,15,4,0.05,1,11.3065,0.736986301,316,0.16873826,0,1,0,0,0,1,0,0
36647,40.79295,-73.93997,69,2,34,0.32,1,12.5434,0.02739726,771,0.26545819,0,0,1,0,0,0,1,0
36703,40.73226,-74.00401,225,45,134,1.24,1,24.6521,0.854794521,100,0.09871116,0,0,1,0,0,1,0,0
36934,40.71363,-73.96398,125,6,27,0.25,1,11.0839,0.517808219,194,0.45430367,0,1,0,0,0,1,0,0
38638,40.77711,-73.9527,219,4,126,1.16,2,10.9143,0.794520548,13,0.07098275,0,0,1,0,0,1,0,0
38663,40.68559,-73.98094,475,3,23,0.27,1,22.5122,0.630136986,190,0.17325212,0,1,0,0,0,1,0,0
39267,40.77456,-73.95323,99,1,234,2.6,2,10.9143,0.449315068,31,0.2397666,0,0,1,0,0,1,0,0
39282,40.71088,-73.95055,69,4,202,1.86,2,11.0839,0.145205479,42,0.13820742,0,1,0,0,0,0,1,0
39593,40.74559,-73.92313,79,30,28,0.26,1,9.0806,0.345205479,88,0.13291066,0,0,0,1,0,0,1,0
39704,40.68306,-73.94659,135,2,309,2.86,2,17.0945,0.008219178,17,0.27021076,0,1,0,0,0,1,0,0
40039,40.70207,-73.98571,250,3,14,0.13,1,22.5122,0.517808219,2997,0.17165788,0,1,0,0,0,0,1,0
40453,40.76123,-73.9642,250,3,4,0.08,1,10.9143,1,1019,0.19492276,0,0,1,0,0,1,0,0
41348,40.66858,-73.99083,250,2,80,2.17,1,12.441,0,3,0.1288451,0,1,0,0,0,1,0,0
41513,40.82704,-73.94907,80,3,2,0.04,1,12.8038,0,1345,0.07540138,0,0,1,0,0,1,0,0
42580,40.68843,-73.96408,70,2,294,3.47,3,18.9222,0.920547945,15,0.14420983,0,1,0,0,0,0,1,0
42729,40.6783,-74.00135,165,2,150,1.4,3,9.0278,0.936986301,21,0.36207694,0,1,0,0,0,1,0,0
42882,40.64524,-74.08088,70,2,166,1.66,1,7.4154,0.854794521,26,3.09390536,0,0,0,0,1,0,1,0
43957,40.70641,-73.91765,50,2,47,0.94,1,13.4682,0.101369863,20,0.18953443,0,1,0,0,0,0,1,0
44096,40.83232,-73.93184,40,1,219,2.04,3,15.6104,0.967123288,5,0.36547604,1,0,0,0,0,0,1,0
44161,40.71045,-73.9677,150,2,193,1.78,1,11.0839,0.484931507,1098,0.53623566,0,1,0,0,0,1,0,0
44212,40.72518,-73.98034,125,1,84,0.78,4,16.1427,0.849315068,16,0.40511922,0,0,1,0,0,0,1,0
44221,40.70666,-74.01374,196,3,114,1.06,1,20.7862,0,19,0.05877214,0,0,1,0,0,1,0,0
44229,40.69098,-73.97113,110,2,213,2,2,18.9222,0.879452055,15,0.30178189,0,1,0,0,0,0,1,0
44288,40.73756,-74.00405,170,3,86,0.8,1,24.6521,0.673972603,38,0.17098184,0,0,1,0,0,1,0,0
44506,40.81526,-73.94791,165,3,80,0.75,3,15.3365,0.632876712,44,0.18320422,0,0,1,0,0,1,0,0
45393,40.73423,-74.0046,150,26,38,0.36,1,24.6521,0.616438356,1175,0.10471895,0,0,1,0,0,1,0,0
45542,40.82374,-73.9373,100,2,18,1.79,1,15.3365,0,204,0.04446833,0,0,1,0,0,1,0,0
45556,40.68863,-73.97691,65,2,206,1.92,2,18.9222,0,9,0.13150869,0,1,0,0,0,0,1,0
45910,40.70382,-73.89797,350,8,10,0.11,5,7.9676,1,58,0.19805785,0,0,0,1,0,1,0,0
45936,40.80549,-73.95924,99,4,122,1.18,2,12.2706,0.638356164,56,0.23429818,0,0,1,0,0,0,1,0
45940,40.71627,-73.9587,200,4,33,0.58,1,14.1874,0.002739726,92,0.12344565,0,1,0,0,0,1,0,0
46544,40.67994,-73.97863,150,5,52,0.5,1,12.441,0.049315068,34,0.20062164,0,1,0,0,0,1,0,0
46723,40.67992,-73.9475,90,3,126,1.17,4,17.0945,0.939726027,51,0.15745888,0,1,0,0,0,0,1,0
46911,40.67868,-73.97307,120,3,51,0.48,3,12.441,0.684931507,15,0.10922721,0,1,0,0,0,0,1,0
47199,40.76834,-73.95334,75,3,199,1.85,1,10.9143,0.893150685,15,0.26479143,0,0,1,0,0,0,1,0
47362,40.68237,-73.9415,175,26,30,0.29,1,17.0945,0.997260274,2500,0.17206252,0,1,0,0,0,1,0,0
47370,40.74031,-73.99999,125,3,3,0.03,1,22.9773,0,1453,0.09765598,0,0,1,0,0,1,0,0
47926,40.76307,-73.99665,275,1,41,0.38,1,44.8156,0.819178082,13,0.53706671,0,0,1,0,0,1,0,0
48719,40.71882,-73.98852,299,2,109,1.04,1,17.1053,0.567123288,24,0.02505746,0,0,1,0,0,1,0,0
50447,40.6693,-73.98804,135,5,151,1.43,3,12.441,0.443835616,17,0.10736931,0,1,0,0,0,1,0,0
51485,40.72319,-73.99201,83,1,285,2.69,1,18.5259,0.019178082,17,0.10950819,0,0,1,0,0,0,1,0
51572,40.74859,-73.99671,123,1,375,3.52,1,22.9773,0.898630137,21,0.19750028,0,0,1,0,0,0,1,0
51850,40.67252,-73.76597,55,2,52,0.49,2,10.8214,1,50,2.74364805,0,0,0,1,0,0,1,0
53137,40.76244,-73.99271,195,5,10,1.01,1,44.8156,0,8,0.35211219,0,0,1,0,0,1,0,0
53196,40.69546,-73.93503,80,2,11,0.48,1,20.5032,0,603,0.12343013,0,1,0,0,0,0,1,0
53469,40.71722,-73.87856,98,30,33,0.31,5,7.9676,0.657534247,1522,0.70140879,0,0,0,1,0,1,0,0
53470,40.70234,-73.89816,140,7,6,0.06,5,7.9676,1,1370,0.29262662,0,0,0,1,0,0,1,0
53477,40.71546,-73.87854,265,7,38,0.38,5,7.9676,1,73,0.64131694,0,0,0,1,0,1,0,0
54158,40.7195,-73.95976,249,2,358,3.44,2,14.1874,0.449315068,19,0.22788909,0,1,0,0,0,1,0,0
54453,40.76548,-73.98474,105,6,10,0.09,1,44.8156,0.994520548,2009,0.21815128,0,0,1,0,0,0,0,1
54508,40.6787,-73.97262,100,2,226,2.12,3,12.441,0.684931507,33,0.1106839,0,1,0,0,0,0,1,0
54544,40.81035,-73.94598,121,1,104,1,5,15.3365,0.676712329,17,0.18052944,0,0,1,0,0,1,0,0
54626,40.83075,-73.93058,45,1,138,1.45,3,15.6104,0.884931507,9,0.30894101,1,0,0,0,0,0,1,0
54860,40.79958,-73.94275,100,5,204,1.92,1,23.5629,0.526027397,16,0.08832605,0,0,1,0,0,0,1,0
55467,40.71625,-73.93845,140,2,253,3.04,1,11.0839,0.342465753,7,0.31003613,0,1,0,0,0,1,0,0
55498,40.6829,-73.93549,71,2,23,0.22,1,20.5032,0.249315068,8,0.34830485,0,1,0,0,0,0,1,0
55668,40.72773,-73.99134,130,2,115,1.17,1,16.1427,0.205479452,216,0.16063159,0,0,1,0,0,0,1,0
55737,40.72861,-74.0049,199,5,129,1.22,1,24.6521,0.783561644,51,0.03477422,0,0,1,0,0,1,0,0
55959,40.70979,-73.95162,69,4,82,1.13,2,11.0839,0.164383562,29,0.20570476,0,1,0,0,0,0,1,0
55982,40.68656,-73.97525,68,3,37,0.35,1,18.9222,0,190,0.03904051,0,1,0,0,0,0,1,0
56467,40.72752,-73.98432,130,1,204,2.04,1,16.1427,0.526027397,8,0.27512183,0,0,1,0,0,1,0,0
56525,40.729,-73.95829,195,2,69,0.65,1,14.1874,0.15890411,26,0.25561921,0,1,0,0,0,1,0,0
56859,40.81219,-73.94499,64,1,192,1.84,5,15.3365,0.671232877,36,0.26161023,0,0,1,0,0,0,1,0
57166,40.77185,-73.90502,140,2,17,0.16,1,8.3745,0.8,22,0.42765664,0,0,0,1,0,1,0,0
57297,40.68926,-73.99386,159,2,222,2.12,1,9.0278,0.764383562,15,0.27106248,0,1,0,0,0,1,0,0
57468,40.72821,-73.98701,189,3,205,1.96,1,16.1427,0,16,0.24766644,0,0,1,0,0,1,0,0
57618,40.7672,-73.98508,250,3,94,0.96,1,44.8156,0.008219178,30,0.18000814,0,0,1,0,0,1,0,0
57740,40.73012,-73.99053,239,3,7,0.07,1,16.1427,0.961643836,46,0.02864571,0,0,1,0,0,1,0,0
57754,40.7403,-73.98498,305,2,108,1.09,1,21.5079,0.550684932,9,0.08994153,0,0,1,0,0,1,0,0
57874,40.80931,-73.94343,155,3,222,2.1,2,15.3365,0.635616438,13,0.15214369,0,0,1,0,0,1,0,0
58059,40.8251,-73.94287,60,1,458,4.58,2,12.8038,0.706849315,6,0.06771503,0,0,1,0,0,0,1,0
58062,40.6585,-73.98397,135,2,21,0.26,1,9.9778,0.745205479,53,0.24589713,0,1,0,0,0,0,1,0
58467,40.76193,-73.9501,120,7,17,0.3,1,8.3745,0.934246575,62,0.2509877,0,0,1,0,0,0,1,0
59014,40.72052,-73.98589,150,3,41,0.39,1,17.1053,0.668493151,188,0.17080321,0,0,1,0,0,1,0,0
59121,40.70411,-73.89934,140,14,1,0.01,5,7.9676,1,2486,0.19680158,0,0,0,1,0,1,0,0
59642,40.73401,-73.95967,135,2,69,0.67,1,14.1874,0.032876712,51,0.33335819,0,1,0,0,0,1,0,0
59709,40.71756,-73.99503,250,4,18,0.18,2,18.5259,0.726027397,8,0.08273196,0,0,1,0,0,1,0,0
59855,40.7589,-73.96991,250,30,82,0.78,1,14.1041,0,1281,0.10788733,0,0,1,0,0,1,0,0
60164,40.72003,-74.00262,500,4,94,0.99,1,20.7862,0.901369863,16,0.05694916,0,0,1,0,0,1,0,0
60457,40.73194,-73.99474,225,5,10,0.1,1,24.6521,0.249315068,59,0.15485216,0,0,1,0,0,1,0,0
